location,New York,New York,New York,New York,New York,New York
lat,40.66653,40.66653,40.66653,40.66653,40.66653,40.66653
lon,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250,-74.06250
asl,44.788,44.788,44.788,44.788,44.788,44.788
variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity
unit,°F,°F,°F,%,%,%
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m
resolution,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Temperature [2 m elevation corrected],New York Relative Humidity [2 m],New York Relative Humidity [2 m],New York Relative Humidity [2 m]
20200610T0000,85.93901,68.76701,77.25927,92.0,58.0,76.0
20200611T0000,77.35301,70.31502,74.03501,94.0,80.0,87.958336
20200612T0000,83.97701,67.07501,75.89576,92.0,30.0,57.625
20200613T0000,72.20502,58.597015,66.22077,58.0,33.0,46.125
20200614T0000,73.33902,54.259014,64.47252,58.0,37.0,47.833332
20200615T0000,74.36501,59.857014,66.67602,74.0,40.0,56.916668
20200616T0000,75.319016,57.499012,67.002266,92.0,38.0,60.25
20200617T0000,77.55101,60.883015,68.96502,76.0,45.0,59.791668
20200618T0000,72.223015,62.143017,67.72677,94.0,76.0,85.333336
20200619T0000,80.197014,65.74301,72.28602,96.0,56.0,78.333336
20200620T0000,81.97902,65.707016,74.04026,95.0,51.0,73.791664
20200621T0000,83.49101,67.57902,75.76378,96.0,51.0,72.541664
20200622T0000,87.73901,67.75902,77.98077,95.0,46.0,69.916664
20200623T0000,85.903015,70.04501,78.17201,97.0,52.0,73.458336
20200624T0000,85.45302,72.403015,78.50352,96.0,33.0,64.708336
20200625T0000,85.30901,67.849014,77.09876,70.0,34.0,52.083332
20200626T0000,84.96701,68.85701,77.53751,76.0,33.0,51.625
20200627T0000,82.08702,69.127014,76.296265,77.0,50.0,65.291664
20200628T0000,84.35501,70.333015,77.98527,90.0,52.0,68.625
20200629T0000,84.193016,69.55901,77.66726,85.0,44.0,60.583332
20200630T0000,75.193016,69.28902,72.35351,82.0,62.0,70.125
20200701T0000,76.07501,66.58902,72.18326,82.0,62.0,72.166664
20200702T0000,90.06101,67.27302,79.24825,89.0,35.0,59.75
20200703T0000,91.66301,74.43701,81.897255,83.0,41.0,59.041668
20200704T0000,84.78702,71.125015,77.17152,91.0,42.0,67.875
20200705T0000,91.627014,68.389015,80.713005,94.0,29.0,59.958332
20200706T0000,87.81102,74.63501,81.158516,77.0,50.0,60.375
20200707T0000,80.59302,70.85501,75.58226,96.0,73.0,86.0
20200708T0000,78.52302,72.24101,75.36852,96.0,73.0,85.5
20200709T0000,87.235016,71.431015,78.757774,97.0,55.0,77.791664
20200710T0000,77.53301,72.49301,75.338524,97.0,87.0,91.416664
20200711T0000,81.81702,74.293015,77.15577,97.0,75.0,85.5
20200712T0000,87.10901,68.569016,78.47876,89.0,41.0,63.666668
20200713T0000,85.86702,73.48302,79.84302,77.0,42.0,58.916668
20200714T0000,85.12901,66.17502,77.046265,76.0,38.0,55.958332
20200715T0000,80.89902,69.95502,75.19451,83.0,55.0,67.041664
20200716T0000,78.63101,67.50702,72.27851,87.0,52.0,69.291664
20200717T0000,82.71701,66.85901,74.24726,86.0,65.0,77.208336
20200718T0000,91.69901,71.32301,81.52976,94.0,31.0,60.833332
20200719T0000,94.20102,72.99701,83.96652,96.0,37.0,64.0
20200720T0000,94.47101,76.291016,85.09151,92.0,43.0,67.166664
20200721T0000,92.07702,77.929016,85.23702,71.0,40.0,52.458332
20200722T0000,90.709015,77.98302,83.77751,80.0,53.0,67.625
20200723T0000,86.98302,76.52502,81.68502,92.0,57.0,73.958336
20200724T0000,79.87302,76.543015,78.48102,87.0,71.0,78.375
20200725T0000,88.26102,71.46702,80.25251,96.0,45.0,69.041664
20200726T0000,92.61702,73.46501,83.67477,83.0,34.0,57.166668
20200727T0000,94.57902,75.679016,85.75452,73.0,35.0,50.458332
20200728T0000,90.38501,75.985016,83.57352,77.0,49.0,62.166668
20200729T0000,90.709015,74.61702,83.26151,86.0,37.0,58.083332
20200730T0000,91.59102,75.265015,84.00702,73.0,42.0,55.416668
20200731T0000,82.51901,70.54901,75.932526,94.0,57.0,76.0
20200801T0000,88.26102,70.60301,79.58726,87.0,41.0,63.583332
20200802T0000,86.17302,75.085014,79.94802,90.0,63.0,77.166664
20200803T0000,89.683014,74.85101,81.58527,85.0,41.0,64.166664
20200804T0000,78.847015,72.56502,75.649765,95.0,78.0,88.666664
20200805T0000,86.60501,68.389015,77.73326,94.0,44.0,67.708336
20200806T0000,84.03101,70.819016,77.58702,73.0,47.0,56.708332
20200807T0000,79.54901,71.737015,76.30526,85.0,61.0,70.583336
20200808T0000,77.91101,72.43901,74.98,88.0,70.0,78.333336
20200809T0000,85.92101,69.59502,77.50152,95.0,50.0,74.416664
20200810T0000,91.41101,71.66501,82.071266,91.0,41.0,65.375
20200811T0000,89.14302,74.18501,81.859764,87.0,48.0,68.25
20200812T0000,87.73901,74.041016,80.768524,95.0,58.0,74.083336
20200813T0000,85.07501,74.99501,80.35151,86.0,57.0,68.625
20200814T0000,86.76701,74.599014,80.18577,87.0,41.0,63.458332
20200815T0000,84.30101,70.44101,77.028275,71.0,38.0,56.208332
20200816T0000,72.223015,67.669014,69.89727,86.0,74.0,79.916664
20200817T0000,80.737015,66.96702,73.28576,86.0,52.0,71.208336
20200818T0000,81.349014,67.75902,75.10001,97.0,43.0,67.75
20200819T0000,78.127014,66.85901,73.24601,71.0,52.0,58.875
20200820T0000,80.66501,65.00502,73.07352,75.0,35.0,55.166668
20200821T0000,85.111015,66.78702,75.795265,95.0,46.0,67.791664
20200822T0000,88.36902,71.53902,79.61576,83.0,43.0,64.0
20200823T0000,86.19101,71.95302,79.65627,85.0,50.0,66.416664
20200824T0000,87.28902,72.51102,79.93751,85.0,50.0,67.125
20200825T0000,88.29701,71.66501,79.64576,82.0,48.0,63.166668
20200826T0000,77.47902,64.96902,71.98901,75.0,39.0,51.833332
20200827T0000,91.66301,70.945015,80.94551,78.0,45.0,57.125
20200828T0000,86.58702,72.11501,79.83477,83.0,46.0,63.208332
20200829T0000,78.41501,72.90701,75.80126,96.0,79.0,88.083336
20200830T0000,79.17101,63.169014,72.501274,89.0,39.0,59.083332
20200831T0000,76.111015,65.419014,71.55402,73.0,47.0,58.083332
20200901T0000,77.06502,69.46902,72.627266,87.0,66.0,76.125
20200902T0000,82.77101,70.04501,75.44801,94.0,68.0,84.666664
20200903T0000,85.86702,74.56302,79.49052,94.0,50.0,75.666664
20200904T0000,84.22902,70.13501,77.89225,91.0,42.0,66.5
20200905T0000,78.93701,65.72501,73.03077,71.0,30.0,46.25
20200906T0000,82.77101,65.00502,73.73427,72.0,36.0,51.583332
20200907T0000,80.21501,65.61702,72.191505,87.0,52.0,71.208336
20200908T0000,83.905014,66.499016,73.663765,93.0,48.0,73.333336
20200909T0000,80.57501,65.74301,73.14627,92.0,55.0,76.916664
20200910T0000,78.127014,72.403015,75.36402,96.0,89.0,92.291664
20200911T0000,78.10901,68.76701,74.61401,97.0,52.0,73.333336
20200912T0000,70.60301,62.16102,65.87501,75.0,50.0,62.666668
20200913T0000,72.349014,62.881016,67.540016,89.0,69.0,79.0
20200914T0000,77.10101,63.691013,71.087524,96.0,40.0,64.333336
20200915T0000,67.56102,53.575012,61.139523,61.0,37.0,48.208332
20200916T0000,71.46702,55.123013,63.57777,86.0,54.0,68.541664
20200917T0000,78.793015,60.721012,69.70752,86.0,55.0,72.333336
20200918T0000,70.639015,60.721012,66.71276,90.0,49.0,68.375
20200919T0000,63.943016,49.579014,57.605515,56.0,29.0,38.416668
20200920T0000,63.115013,49.399014,56.757267,51.0,28.0,38.041668
20200921T0000,64.89702,48.787014,57.604767,57.0,26.0,39.625
20200922T0000,72.043015,48.751015,61.084763,61.0,26.0,42.291668
20200923T0000,79.22501,53.917015,66.87627,73.0,37.0,51.791668
20200924T0000,79.62102,60.235016,71.121254,82.0,41.0,56.375
20200925T0000,80.305016,60.631012,71.12352,88.0,43.0,66.875
20200926T0000,72.655014,61.90901,67.76426,96.0,79.0,88.166664
20200927T0000,76.39902,66.46301,70.82876,96.0,74.0,89.25
20200928T0000,75.751015,66.96702,71.09277,96.0,72.0,86.625
20200929T0000,73.53702,65.707016,69.64526,96.0,89.0,92.958336
20200930T0000,70.693016,61.315014,66.77052,97.0,45.0,71.666664
20201001T0000,74.05901,57.067013,65.249504,74.0,43.0,57.208332
20201002T0000,63.709015,55.77101,60.560516,88.0,47.0,63.208332
20201003T0000,65.97701,51.433014,60.620502,83.0,39.0,58.0
20201004T0000,67.68701,52.099014,59.75201,78.0,50.0,61.666668
20201005T0000,68.263016,54.67301,62.229263,92.0,51.0,68.666664
20201006T0000,69.57701,56.275017,63.24402,92.0,47.0,67.083336
20201007T0000,77.31702,56.743015,66.33927,87.0,41.0,61.416668
20201008T0000,61.099014,50.29901,56.40477,80.0,39.0,56.416668
20201009T0000,69.433014,47.941013,58.86327,75.0,41.0,57.833332
20201010T0000,79.36902,56.617012,67.28277,84.0,52.0,65.958336
20201011T0000,68.35301,57.499012,63.626514,91.0,68.0,77.833336
20201012T0000,60.289013,53.899014,55.984013,95.0,87.0,90.708336
20201013T0000,64.84302,56.779015,59.62526,97.0,82.0,90.458336
20201014T0000,71.03502,48.40901,60.040768,85.0,38.0,60.583332
20201015T0000,73.069016,55.339012,64.01876,94.0,50.0,68.375
20201016T0000,64.555016,52.369015,58.693768,96.0,84.0,91.666664
20201017T0000,60.433014,47.329014,54.01151,89.0,33.0,55.333332
20201018T0000,62.971016,49.039013,56.01627,90.0,43.0,58.458332
20201019T0000,66.37302,53.017014,59.35677,94.0,64.0,80.875
20201020T0000,70.693016,59.011013,64.567764,96.0,85.0,92.666664
